"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"24MHz";;;
2;"SW2";"SW-SMD_CHA_C603B-101ML-1SF";1;"SW_Push_LED";;;
3;"R17";"R_0402_1005Metric";1;"22.1k";;;
4;"L1";"L_TDK_NLV32_3.2x2.5mm";1;"6.8uH";;;
5;"L5,L4";"L_0402_1005Metric";2;"6.8nH";;;
6;"L2,L7";"L_0402_1005Metric";2;"7.5nH";;;
7;"C3,C8,C1,C35,C5,C2,C7,C26,C32,C36,C15";"C_0402_1005Metric";11;"0.1uF";;;
8;"L9,C13";"C_0603_1608Metric";2;"?";;;
9;"C33";"C_0402_1005Metric";1;"1 uF";;;
10;"R15,R23,R14,R22,R16,R11,R24";"R_0402_1005Metric";7;"10k";;;
11;"R4,R5";"R_0402_1005Metric";2;"1.5k";;;
12;"R3,R21,R10";"R_0402_1005Metric";3;"309k";;;
13;"C18,C11";"C_0402_1005Metric";2;"3.6pF";;;
14;"AE1";"Texas_SWRA416_868MHz_915MHz";1;"Antenna";;;
15;"U4";"CP2102N-A02-GQFN28";1;"CP2102N";;;
16;"R19";"R_0402_1005Metric";1;"1k";;;
17;"U1";"SN74HCT541PW";1;"74HCT541";;;
18;"U6";"BQ24072TRGTR";1;"BQ24072";;;
19;"C31,C34,C14";"C_0402_1005Metric";3;"4.7uF";;;
20;"SW1";"SW-TH_SS-12F45-GXXX";1;"SW_SPST";;;
21;"U2";"CC1310F128RGZR";1;"CC1310";;;
22;"Y2";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768kHz";;;
23;"J3";"PinHeader_2x05_P1.27mm_Vertical";1;"Conn_02x05_Odd_Even";;;
24;"J1";"CONN-SMD_SM04B-PASS-TBT-LF-SN";1;"LED_STRIP_CONNECTOR";;;
25;"C20";"C_0402_1005Metric";1;"6.2pF";;;
26;"C4,C6,C30,C29";"C_0603_1608Metric";4;"22uF";;;
27;"C17";"C_0402_1005Metric";1;"5.1pF";;;
28;"P1";"USB_C_Receptacle_XKB_U262-16XN-4BVC11";1;"USB_C_Plug_USB2.0";;;
29;"C22";"C_0402_1005Metric";1;"1uF";;;
30;"C19";"C_0402_1005Metric";1;"2.7pF";;;
31;"R1";"R_0402_1005Metric";1;"1.0K";;;
32;"C21";"C_0402_1005Metric";1;"3pF";;;
33;"D3,D2";"LED_0402_1005Metric";2;"LED";;;
34;"C16,C23";"C_0402_1005Metric";2;"100pF";;;
35;"C9";"C_0402_1005Metric";1;"12pF";;;
36;"R20";"R_0402_1005Metric";1;"47.5k";;;
37;"C10";"C_0402_1005Metric";1;"15pF";;;
38;"L6";"L_0402_1005Metric";1;"3.3nH";;;
39;"R13";"R_0402_1005Metric";1;"2.2k";;;
40;"R18";"R_0402_1005Metric";1;"1.18k";;;
41;"U5";"MX25R8035FZUIL0";1;"MX25R8035F";;;
42;"R6,R25";"R_0402_1005Metric";2;"5.1k";;;
43;"L3";"L_0402_1005Metric";1;"27nH";;;
44;"FB1";"R_0603_1608Metric";1;"BLM18HE152SN1";;;
45;"L8";"L_Chilisin_BMRB00060612";1;"1.5uH";;;
46;"R9";"R_0603_1608Metric";1;"8.87k";;;
47;"R2,R12";"R_0402_1005Metric";2;"100k";;;
48;"D4";"SOT-143";1;"SP0503BAHT";;;
49;"J4";"DF65-3P-1.7V21";1;"BATT_CONN";;;
50;"C28";"C_0402_1005Metric";1;"10pF";;;
51;"C25";"C_0603_1608Metric";1;"10uF";;;
52;"Q2,Q3,Q1";"SOT-23_Handsoldering";3;"Q_NMOS_GSD";;;
53;"C27";"C_0402_1005Metric";1;"10nF";;;
54;"U3";"VQFN7_2X2_TEX";1;"TPS61230ARNSR";;;
55;"R7";"R_0603_1608Metric";1;"1.13k";;;
56;"R8";"R_0603_1608Metric";1;"2.21k";;;
